ID,frase_es,frase_sh,dominio,fecha,origen
13,"Un mono machín, que escondido escuchaba, fue a dar aviso a la ardilla. Entonces la ardilla se enfureció","Nui ayam,Tsere, nua chichainiamun anturú pujá Tsenkenki weri kunampen ujaku timiaja, nui kunamp suirai kajekmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
14,"Cuando las mujeres regresaron a la casa, cocinaron el choclo y le brindaron a la ardilla, pero ésta no comió, porque ya sabía las intenciones de las mujeres","Nua jea waketkiar shana kuiran awiyar kunampen susarmia timiaja, turasha kunampka kajeku asa yuachmia timiaja, wari nua enentain antukusha",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
15,"Más bien ustedes, coman ustedes, deben estar cansadas y con hambre- les respondió la ardilla","Kunamp chichaak atum yuatarum Yawercharmek tuma pimpikcharmek, timia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
16,"Al anochecer, y de tanta comida que se sirvieron, las mujeres se quedaron profundamente dormidas. Esto fue aprovechado por la ardilla, quien las arrastró y las fue a dejar en un lugar desconocido de la selva","Kashi ajasmatai, shana kuiran nukap yuawaru asar, nuaka pakea kanararu timiaja, ainkiarmatai kunampka mai nuan achik; Yaja kampunniunam japiki ikiuwaru timia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
17,"A media noche, las mujeres sintieron que unas gotas de agua caían sobre ellas, se despertaron y lloraron porque ya no tenían un techo que las protegiera","Kashi ajampek ajasmanum; yumi yutak kitiaram shintiarar nekamawarmia timiaja, nui uutiarmia timiaja, wari jea ajamkatniun achiakcha asar",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
18,"Entonces, se dieron cuenta que la ardilla las había echado de la casa, por su mal comportamiento y actitud","Nuni, nekaamawarmiayi kunam jeaya jiiki ajapamunka, ninki yajaunch iniakmamsamunam",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
19,NUNKUI ENSEÑA EL ARTE DE LA ALFARERÍA,NUNKUI MUITS NAJANATNIUN JINTINKRATA,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
20,A una hermosa jovencita le tocó en suerte el más valiente de los cazadores,Núa Nunkui naártin tíi shíirmach aíshman eámniun uyúmkamia timiaja,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
21,"Esto produjo la envidia de las demás mujeres que, para vengarse, rehusaron enseñarle los quehaceres domésticos, el arte culinario y, sobre todo, las técnicas de alfarería","Nuá júni aíshman pénkera uyúmka asamtai, kajérta juárkiarmia timiaja chíkich nuá aínia. Tura kajérainiak yapájmiaktajtsar warínkish najántai aínia aú: tsapa, muits, pinínk najánatniun pénkésh jintintiacharmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
22,"La joven sufría lo indecible; vivía sola, y debía preparar las ricas presas que su esposo le traía en abundancia en tiestos viejos e inservibles desechados por sus vecinas","Jú nuáka ti kajéram waítmia timiaja. Níichik jeá pujú wémia timiaja, tura jú nuáka níi aíshri kuntinian máa itiakui, nuá ayámach pujuinia muits jakúru utsánkman tepá waíniak, nuí kuntinian iniarák ní aíshrin ayúreak tíi waít wémia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
23,"Humillada y despreciada, buscaba todos los días nuevas clases de barro","Tíi wishíktai, muijkiamu ása, kashínshinink muitsan eá wémia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
24,pero sus ollas siempre se resquebrajaban,Tura muitsant pénker waínkiasha jakúnu jakúnu ajá wemia timiaja,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
25,Nunkui tuvo compasión de ella y se le apareció sentada en medio de la arcilla,Tumakui Nunkui tíi waít anénramia timiaja. Tura nékachma núwe pujámunam Nunkui áya wájatsamia timiaja,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
26,"Consoló a la jovencita, y, después de indicarles las mejores clases de barro, las técnicas de la alfarería y los modelos más finos de ollas, le escupió las manos comunicándole así el arte de la alfarería","Nunkui waít anentar nuán miniakas, itiura muits, pinínk tíi pénker íi íi aját najántain núna mash jintintiak, ewéjchiniam achík súú súú umpuármia timiaja níi kakarmari suák",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
27,"Luego Nunkui se despidió maldiciendo a las mujeres envidiosas que, al instante, se tornaron ineptas y estériles","Tura Nunkui wéak júna nuá kajérainian yuminkiar itiukmia timiaja. Juní yúmin susamunam másh nuá jú nuachin kajerainiaka penkésh muitsa, pininkia najáncha kají kajínmatu ajasarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
28,"Después, ellas tuvieron que humillarse, rogándole a la joven que les comunicara sus conocimientos","Tura jú nuá yuminkramu aínia, natsarar nuáchin waítneasam muits, pinink najánatin jintinratata tusar weriarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
29,Hasta el día de hoy las mujeres shuar hacen las ollas según las técnicas y los modelos enseñados por Nunkui,"Tuma asamtai yamainia juinkia shuar nuáka jú Nunkui tíi pénker jintiamu asar, pininkian, muitsant íi íi aját tíi shirmach najánin aíniawai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
30,Creación de los delfines,Apúp Akiniawaru,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
31,"Este cuento proveniente de la tradición oral de la amazonia, relata el momento de la creación de los delfines, y puede ser leído de manera individual o grupal","Jú aújmattsamuka Amazonía nunkanmaniaiti, nekaska itiura apúp akiniawaru aínia núna aujmateawai. Jú aújmattsamunmaka uchi áya ninkish turuskesh tuákarkesh aujsamnia aíniawai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
32,"Así podremos desarrollar las habilidades de observar, escuchar, hablar, pensar y desarrollar actividades recomendadas","Juní takakmasta tusar jintiámu asamtai, mash najánatin, antúktin, chicháktin nuyá enentaímsatin iísminiaiti",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
33,"Se elaboraron textos en shuar y castellano, para facilitar su utilización en el caso de que no conozcan una de las lenguas","Ju aújtai papikia Kichwa nuyá Apach chichamjai najankamuiti, neáchma jú chichamjai aárman nekacharminiaitkuinkia, chikich chichamjaish aárman nekáwarat tusar",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
34,"Esta es una muestra de que podemos apasionarnos por la lectura, la comprensión y la escritura","Juní asamtai tii pénker aújsar, nekar nuyá aákur jikiatamniaiti",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
35,"Cuando no existían hombres en la tierra, había dioses en el cielo","Jú nunkanam aénts pujuiniatsaink, nayaímpiniam Arútam nukap irunmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
36,"Un día, dos pequeños hijos de los dioses corrían y jugaban en el arco iris","Atak tsawantin, Arutma uchiri kuérach jímiar Tuntiak wajámunam tsekenkiar maé nákuru ajarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
37,"Los pequeños dioses corrían y gritaban alegremente, bajo la mirada preocupada del dios Ñañe Painna","Arútam Uunt Ñañe Painna tama iyám, Arútam uchichich jímiar tuntiaknum wajásar nakuruiniak charátum ajarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
38,"En un momento de descuido, los pequeños cayeron del arco iris y se precipitaron al suelo rápidamente",Tuma pujuinia neáchma pukúnt iniawarmia timiaja,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
39,"Los niños estaban a punto de morir, pero Ñañe Painna tuvo compasión de ellos",Jú Arutam uchichich jímiar iniawar jakáttsa pujuiniant Nañe Painna wait anénrarmia timiaja,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
40,"En el preciso momento en que toparon el agua, los convirtió en dos hermosos delfines","Tumá pujuinian entsá antínkiarmatai, jímiar apúp tama Arutam Nañe Painna tii shiírmachin najánamtikrarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
41,"Desde ese momento, los delfines, mamíferos muy juguetones y traviesos, viven en los ríos de las selvas amazónicas","Juní juáku asamtai yamaikia apúpka tíi nakurin, takákmau, amazonas entsanam pujuiniawai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
42,Y nos recuerdan a los pequeños dioses que jugaban en el arcoiris,Tuma asamtai yamaikia Arutam uchichich Tuntiaknum wajásar nakurin aármia nú enentaimtiniaitji,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
43,Dios chachi,Ñañe Painna,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
44,"Completa la línea de puntos, luego colorea la figura que encuentres","Tsák tsák ijiurma aú iísam amukta, tura nakúmkamua aú yakárta",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
45,Pinta el arcoiris,Tuntiak yakárta,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
46,La ballena Serafina,Tunká Serafina Aújmatma,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
47,Este cuento puede ser leído de manera individual o grupal,Jú aújmattsamunmaka uchi áya ninkish turuskesh tuákarkesh aujsamnia aíniawai,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
48,"Así podremos desarrollar las habilidades de observar, escuchar, hablar y pensar, por medio de las actividades recomendadas","Juní takakmasta tusar jintiámu asamtai, mash najánatin, antúktin, chicháktin nuyá enentaímsatin iísminiaiti",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
49,"Se elaboraron los textos en shuar y castellano para facilitar su utilización, en el caso de que no conozcan una de las lenguas","Ju aújtai papikia Kichwa nuyá Apach chichamjai najankamuiti, neáchma jú chichamjai aárman nekacharminiaitkuinkia, chikich chichamjaish aárman nekáwarat tusar",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
50,"La ballena Serafina es muy grande y, junto con otros animales, vive en el mar","Tíi uúntaiti tunká Serafina tama, chikich yajasmajai pachiniaik nayántsanam pujawai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
51,"Serafina es muy juguetona y todos los días se encuentra con su amigo Toribio, que es un caballito de mar","Serafinaka tíi nakuriniaiti tura kashinshinink ni amikrijiai Toribio naártinjiai wainniaiyawai, juka nayántsanmania muáyaiti",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
52,"Ambos suben a la superficie, para que desde la costa los vean saltar","Entsa pujúsar, maémtek yakí nánt ajainiawai waitkiarat tusar",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
53,"Serafina y Toribio bajan a lo profundo del mar y, nadando nadando, con otros peces jugarán","Serafina, Toribiojainkia nayántsa iníttri akainiawai tura nanamki, nanamki chikich namakjai nakurusartatui",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
54,"Muchos animales viven en el mar, grandes y pequeños suben y bajan por sus aguas. Todos unidos en una gran comunidad","Nukap yajásam uúnt nuya uchich nayántsanam pujuiniawai, yakí wakar akaíniawai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
55,"Cuando llega la noche, todos a dormir se van","Káshi ajasmatai, mashi kanuttsa wenawai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
56,Serafina y Toribio un beso se dan,"Serafina, Toribiojainkia shíit mejenaininiawai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
57,"Completa la línea de puntos con el lápiz. Luego, colorea la figura que encuentres","Akmataijiai tsák tsák ijiurma aú iísam amukta, tura nakúmkamu aú yakárta",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
58,Ayuda al caballito de mar a encontrar a su amiga ballena,"Nayántsanmaya muá, ni amikchiri tunká wainkiat tusam yaínkta",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
59,"Las ovejas son animales muy queridos y apreciados sobre todo por los habitantes de la región andina, como podemos ver en estas lecturas, que pueden ser leídas de manera individual o grupal","Aénts micha nunkanam matsamin aínia aúka, murik taman tíi pénker wakerukar waínin aíniawai. Jú aújmattsamunka, uchi áya ninkish turuskesh tuákarkesh aújsamnia aíniawai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
60,"Se elaboraron los textos en shuar y castellano para facilitar su aprendizaje, en el caso de que no conozcan una de las lenguas","Ju aújtai papikia Shuar Chicham nuyá Apach chichamjai najankamuiti, neáchma jú chichamjai aárman nekacharminiaitkuinkia, chikich chichamjaish aárman nekawarat tusar",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
61,Las ovejas viven en los cerros,"Murik tamaka, murá micha nunkanam pujú aínaiwai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
62,Las ovejas comen pasto tierno,Murikkia saák kueran yúaíniawai,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
63,"La lana de las ovejas es muy abrigada, por eso las personas las trasquilan una vez al año, en verano, para confeccionar ropa","Muriki urénka tii tsuéraiti, tuma asamtai uwi chikíchik jea nankamasmatai, urén awá aíniawai, tsawant etsa ajákui pushi najankarmij tusar",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
64,"Con la lana de las ovejas, se tejen sacos","Muriki urejainkia, entsatai tujuch najanttainti",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
65,También se tejen ponchos,Aentsank tujuch awanketaish najantainti,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
66,"Pega algodón, lana o hilo sobre las ovejas para simular su lana, y pinta sus caras","Uruchjainkish, jiújainkish muriki uréyana aítkiam anújkata, tura yapí yakarta",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
67,Pinta el fondo de la ilustración y las ovejas de acuerdo al color de lana indicado,"Áya murik nakumkamua aú, ni ureya ánin yakataijiai yakárta",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
68,gris,sayúk,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
69,negro,mukúsa,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
70,café,nunca,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
71,El picaflor y el fuego,"Jempe, Jíjiai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
72,"Este cuento de la tradición oral secoya promueve el cuidado de la naturaleza, la solidaridad en la comunidad, y puede ser leído de manera individual o grupal","Secoya aénts yaunchu jú aujmattsamunmaka, írutkamunam kampuntin pénker iístin, nuámtak yainiaiktin tamaiti. Jú aújmattsamunmaka áya ninkish turuskesh tuákarkesh uchi aujsamnia aíniawai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
73,"Se elaboraron los textos en shuar y castellano para facilitar su utilización, en el caso de que no conozcan una de las lenguas","Ju aújtai papikia Kichwa nuyá Apach chichamjai najankamuiti, neáchma jú chichamjai aárman nekacharminiaitkuinkia, chikich chichamjaish aárman nekawarat tusar",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
74,"Al principio, hace miles de años, el hombre no conocía el fuego","Yaunchukka, aentska Jíniaka penkésha nekachuyayi",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
75,"Solamente una familia conocía el fuego, pero no quería compartirlo",Áyatik chikíchik aentsuk Jíniaka nekau asa tí surinniuya timiaja,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
76,"Un día, el hijo mayor de esta familia encontró un picaflor todo mojado y con mucho frío","Aták tsawanti, uchi weáj tukama, Jempe jiniar tsetsékchiri súpir súpir ajá tepá waínkiamia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
77,"El niño, al verlo en ese estado, lo llevó a su casa, para calentarlo junto al fuego","Jempe juní tepa wainiak, jinium jujúrattsa uchi ní jeéni jukimia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
78,"Cuando el picaflor se secó, recobró su vitalidad y comenzó a volar muy cerca del fuego, hasta que su larga cola se encendió","Jempe jujúr, pénker enentaimiar, ayamach ji pujamunam nanák, ujúkchirin jinia aká jukimia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
79,"Fue así como el picaflor regaló el fuego al hombre y desde entonces, nadie pasa frío","Jempeka tií yakí nanák, numi karú amanum, jínia aká úu úu amajmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
80,"Completa la línea de puntos, luego colorea la figura que encuentres","Tsák tsák ijiurma aú iísam amukta, tura nakúmkamu aú yakárta",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
81,"Ayuda al niño a llegar al fuego, y así calentar al colibrí","Jempe jujúrat tusam, uchi jíniu jeátin yaínkta",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
82,EL VENADO Y LA TORTUGA,JAPA KUNKUIMJAI,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
83,"Había una vez, en la selva un venado y su amigo tortuga. Estos animales se alimentan de frutas suaves y hojas tiernas","Japa nuya nii amikri kunkuim ikiam pujarmiayi, ninkia ikiamian yuranmin nuya nuka kuiran yuu aarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
84,"Una mañana los dos animales se encontraron bajo el árbol de frutas. Después de una larga conversación, planificaron competir una carrera de velocidad","Mai yajasmak kashik numi nerekmanum wainiaikiar Chichainiak, tsekenkir nekapmaimsami, Yaki awakmakat tuu aujmattsarmia, timia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
85,¡Qué fácil será ganar la carrera!,Tsekenki awakmaktin yupichuchiti,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
86,"pensaba el venado, viendo que la tortuga era muy lenta","japa tu enentaimiayi, kunkuim juichu asamtai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
87,"Por otro lado la tortuga, quien era lenta pero astuta, llamó anticipadamente a tres de sus parientes, para que ubicarlas en lugares estratégicos","Chikich tsawant, kunkumkia menaint ni shuarin untsuk, wi tui awajeajrum nui wajastarum tiarmia timiaja",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
88,"Tú, Nanki, estarás en el punto de la salida; tú, Nantu, estarás a la mitad de la ruta; tú, Nayaimp, estarás casi al final y yo estaré en el punto de llegada","Nanki ameka jintmanum wajasta, tura nantu ameka ajapent wajasta, nayem nayaimpia ameka jeamunam wajasta, wikia penke jean wajatajai",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
89,Al momento de empezar la carrera la tortuga dijo,Tsekentiasa juaruk kunkuim timiayi,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
90,"Claro, no hay problema contestó confiado el venado",Tsekeakur tui pujaj nú anintrustai,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
91,"Mientras, corramos, preguntémonos dónde estamos",Ayu nuka warinchuit timiayi japa,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
92,"Y a la una, a las dos, y a las tres contaron y salieron corriendo","Chikichik, jimiar, Menaint paitiar, tseketan juarkiarmiayi",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
93,"Ya cerca de la mitad, el venado preguntó ¿Dónde estás tortuga?","Tura ajapen jeastatuk ajasmanum, japa inintrusmiayi kunkuimian Timiatai pujam",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
94,"Yo te estoy ganando, estoy a la mitad respondió Nantu","wikia ajapen emka ajasan weajai, Tu aikmiayi Nantu",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
95,"Al escuchar esto, el venado se puso a correr más",Japa nuna antuk nuran tsekeetan juarkimiayi,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
96,Cerca del final el venado preguntó nuevamente,Jeastatuk ajas japa inintrimia ataksha,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
97,¿Dónde estás tortuga?,¿kunkuimia tuimpia pujam timiayi?,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
98,Ya casi llego respondió Nayem,Penke shishik ajasjai jeatin timiayi Nayem,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
99,"Ante ello, el venado, corrió con más fuerza",Tura paja nukaran tsekemian,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
100,Hasta que por fin llegó a la meta; y para sorpresa se encontró con que la tortuga ya estaba descansando comiendo frutas,"Jeatniunam jeá, yaunchu kunkuimiaka ayamuk yuranke yuak pujan wainkiamiayi",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
101,"Entonces, al verse vencido, el venado se echó en el suelo; él nunca supo cómo ganó la tortuga","Nuyanka, nupetmakach, japaka nunka, tepesmiayi, itiurak kunkuimiash awaktuka nuna nekachmiayi",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
102,LA HORMIGA Y LA MARIPOSA,JUURMIK WAMPIASHKUJAI,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
103,"En cierta ocasión, una hormiga trabajadora se encontraba reuniendo provisiones bajo el fuerte sol de verano a orillas del río","Esatai, week, entsa yantam Yurumtairin juukmak utuwak pujumiayi",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
104,"De pronto, el suelo bajo ella cedió, y la hormiga cayó al río donde estaba siendo violentamente arrastrada","Nekachma, nunca yumpunuk weeknaka entsa ajunmiayi, nui jakeki weak",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
105,"¡Auxilio, auxilio! ¡Me ahogo! gritaba la pobre hormiga","¡Yainkiata!, ¡yainkiata!, ¡jakeajai, jakeajai! timiayi week Waitnenmaich",Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
106,"En esos instantes, una mariposa la escuchó y se dispuso a ayudarla",Nuna wampiashuk anturak Yaintasa pujursamiayi,Literario,01-06-2026,SEIBE - Secretaría de Educación Intercultural Bilingüe y la Etnoeducación
